Gabrielle,2001-09-15 17:59:29,2001-09-16 00:47:43,47.5,10.0,35,167
Edouard,2002-09-03 18:03:34,2002-09-04 01:12:43,40.0,-10.0,34,48
Ophelia,2005-09-09 12:57:35,2005-09-10 01:50:41,62.5,-10.0,28,53
Rita,2005-09-19 05:09:46.730000,2005-09-19 23:18:22,55.0,10.0,49,86
Rita,2005-09-19 23:32:25,2005-09-20 17:37:19.310000,63.333333333333336,50.0,43,67
Gert,2005-07-24 02:58:32,2005-07-24 06:37:56,35.0,0.0,20,3
Ernesto,2006-08-31 13:41:22,2006-08-31 19:24:49,60.0,-10.0,22,84
Dolly,2008-07-22 08:08:06,2008-07-22 14:09:42,55.0,20.0,20,nan
Karl,2010-09-13 12:45:32,2010-09-14 02:29:47,25.0,0.0,29,22
Hilary,2011-09-29 16:34:49,2011-09-29 19:19:08,50.0,-40.0,16,nan
Isaac,2012-08-22 20:58:53,2012-08-23 03:16:12,45.0,0.0,25,106
Isaac,2012-08-26 20:35:54,2012-08-27 01:32:09,50.0,10.0,26,113
Isaac,2012-08-27 07:59:54,2012-08-28 02:07:02,58.333333333333336,0.0,55,108
